Age_range,Industry,Job _title,Annual_salary,Additional_monetary_compensation,Annual_salary_USD,Additional_m_c_USD,Currency,Country,State,City,y_o_p_e_Overall,yo_p_e_in_Field,Highest_level_of_education,Gender
25-34,Media & Digital,Associatiate Producer of Multimedia Content,80600,2000,80600,2000,USD,USA,District of Columbia,"Washington, DC",5-7 years,5-7 years,College degree,Woman
25-34,Nonprofits,Youth Programs Manager,39520,0,39520,0,USD,USA,New York,Buffalo,8 - 10 years,8 - 10 years,Master's degree,Non-binary
45-54,Insurance,Quality Assurance Analyst,54676,4000,54676,4000,USD,USA,Arkansas,Little Rock,21 - 30 years,2 - 4 years,College degree,Woman
35-44,Business or Consulting,Director,180000,20000,180000,20000,USD,USA,Massachusetts,Outside Boston,11 - 20 years,11 - 20 years,College degree,Woman
45-54,"Leisure, Sport & Tourism",Operations Manager,110000,20000,110000,20000,USD,USA,North Carolina,Raleigh,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Computing or Tech,Change Management Director,160000,40000,160000,40000,USD,USA,Illinois,"Chicago, IL",11 - 20 years,8 - 10 years,PhD,Woman
35-44,Libraries,"Manager, Acquisitions",62000,0,62000,0,USD,USA,Missouri,St. Louis,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Senior Refrigeration Engineer,85941,3500,85941,3500,USD,USA,Michigan,Norton Shores,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Retail,Assistant Store Manager ,69500,4000,69500,4000,USD,USA,New Jersey,Parsippany ,5-7 years,5-7 years,College degree,Woman
35-44,Computing or Tech,Data Analyst,70000,0,70000,0,USD,USA,New York,Brooklyn (WFH),11 - 20 years,2 - 4 years,College degree,Woman
25-34,Government and Public Administration,Program Coordinator ,46800,0,46800,0,USD,USA,Texas,Austin,8 - 10 years,2 - 4 years,Master's degree,Woman
65 or over,Nonprofits,Executive Director,121000,0,121000,0,USD,USA,California,San Rafael,41 years or more,41 years or more,Some college,Man
35-44,Education (Higher Education),Librarian,74000,0,74000,0,USD,USA,Virginia,Fairfax,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Education (Primary/Secondary),Educator,64500,240,64500,240,USD,USA,Iowa,West Des Moines,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Retail,Category Manager,115000,24000,115000,24000,USD,USA,Arkansas,Bentonville,8 - 10 years,8 - 10 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Marketing Analyst,52000,0,52000,0,USD,USA,Florida,Orlando,5-7 years,5-7 years,Master's degree,Man
55-64,Public/Research Library,Metadata Specialist II,72000,0,72000,0,USD,USA,"Arizona, New York",New York,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Transport or Logistics,Maintenance Administrative Assistant,47840,5000,47840,5000,USD,USA,Alaska,Fairbanks ,21 - 30 years,5-7 years,Some college,Woman
35-44,Property or Construction,Property Manager,86000,16000,86000,16000,USD,USA,Florida,Orlando,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Retail,Customer Service Supervisor,52000,0,52000,0,USD,USA,Oregon,Tualatin,11 - 20 years,2 - 4 years,College degree,Man
35-44,"Accounting, Banking & Finance",Associate Banker,33800,0,33800,0,USD,USA,Wisconsin,Sun Prairie,21 - 30 years,1 year or less,College degree,Woman
35-44,Computing or Tech,"Customer Service Specialist, Staff",107000,10000,107000,10000,USD,USA,California,San Diego,21 - 30 years,11 - 20 years,High School,Woman
45-54,Education (Primary/Secondary),Executive Director,65000,500,65000,500,USD,USA,Texas,Dallas,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Law,Counsel,203000,20000,203000,20000,USD,USA,Texas,Austin,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Business or Consulting,Director,167000,45000,167000,45000,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Government and Public Administration,Cyber Security Engineer,98000,0,98000,0,USD,USA,Florida,Tampa,21 - 30 years,21 - 30 years,College degree,Woman
18-24,Business or Consulting,Management Trainee,94960,30000,94960,30000,USD,USA,Illinois,Chicago,1 year or less,1 year or less,College degree,Man
35-44,Scientific research (industry) ,Senior scientist ,122000,14000,122000,14000,USD,USA,Wisconsin,Madison,11 - 20 years,11 - 20 years,PhD,Woman
35-44,Computing or Tech,Software Engineer,122000,0,122000,0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Man
35-44,Law,Office manager,50000,2400,50000,2400,USD,USA,Illinois,Chicago,21 - 30 years,2 - 4 years,Some college,Woman
35-44,Nonprofits,Director of External Affairs,51000,0,51000,0,USD,USA,New York,Buffalo,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Social Work,LICSW,72000,0,72000,0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Business or Consulting,Chief Compliance Officer,130000,0,130000,0,USD,USA,"California, District of Columbia, Illinois, Iowa, Maryland, Minnesota","Washington, DC Primarily",21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,"Marketing, Advertising & PR","Vice President, Operations",149000,4000,149000,4000,USD,USA,Connecticut,Norwalk,21 - 30 years,21 - 30 years,College degree,Woman
35-44,"Marketing, Advertising & PR",assistant communications director,104500,0,104500,0,USD,USA,Minnesota,Saint Paul,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Property or Construction,Property manager,68000,2000,68000,2000,USD,USA,Connecticut,Ridgefield,5-7 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Technical Support,115000,5000,115000,5000,USD,USA,Wisconsin,Madison,8 - 10 years,8 - 10 years,College degree,Man
35-44,Engineering or Manufacturing,Senior Technical Writer,56000,0,56000,0,USD,USA,Michigan,St. Joseph,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Health care,Nurse Practitioner,113500,0,113500,0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,5-7 years,Master's degree,Woman
35-44,"Marketing, Advertising & PR",Associate Creative Director,85000,0,85000,0,USD,USA,Michigan,Troy,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Insurance,Supervisor of Judicial Programs,78000,3000,78000,3000,USD,USA,Arizona,Phoenix,8 - 10 years,5-7 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Senior Associate,73000,5000,73000,5000,USD,USA,District of Columbia,"Washington, DC",5-7 years,5-7 years,Master's degree,Woman
18-24,Education (Higher Education),Circulation Coordinator,43500,250,43500,250,USD,USA,New York,Vestal,2 - 4 years,2 - 4 years,College degree,Non-binary
45-54,Health care,medical director (psychiatry),270000,0,270000,0,USD,USA,Georgia,Columbus,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Man
25-34,Nonprofits,Office and HR Manager,39825,0,39825,0,USD,USA,Idaho,Boise,8 - 10 years,2 - 4 years,Some college,Woman
35-44,Education (Higher Education),Faculty Assistant,64000,2000,64000,2000,USD,USA,Massachusetts,Cambridge,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Procurement Analyst,60661,0,60661,0,USD,USA,Illinois,Chicago,11 - 20 years,2 - 4 years,College degree,Woman
25-34,Computing or Tech,Software engineer ,150000,70000,150000,70000,USD,USA,Washington,Seattle ,5-7 years,5-7 years,Master's degree,Woman
25-34,Law,Legal Assistant,65200,0,65200,0,USD,USA,Colorado,Denver,5-7 years,5-7 years,Master's degree,Non-binary
35-44,Recruitment or HR,"Senior Manager, Compensation",206400,75000,206400,75000,USD,USA,California,San Francisco,11 - 20 years,5-7 years,College degree,Man
35-44,Health care,Recruiting Manager,85000,15000,85000,15000,USD,USA,California,Los Angeles,8 - 10 years,5-7 years,College degree,Woman
35-44,Education (Higher Education),Director ,74000,10000,74000,10000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Experienced Associate,63000,1500,63000,1500,USD,USA,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Engineering or Manufacturing,Senior Financial Analyst,86250,0,86250,0,USD,USA,Ohio,Cleveland,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Media & Digital,Senior editor ,77000,8000,77000,8000,USD,USA,New York,New York,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Social Work,Program Supervisor,58200,0,58200,0,USD,USA,Oregon,Portland,11 - 20 years,5-7 years,Master's degree,Man
55-64,Media & Digital,Payroll & Benefits Specialist,51000,500,51000,500,USD,USA,Iowa,Des Moines,31 - 40 years,11 - 20 years,College degree,Woman
18-24,Computing or Tech,Software Engineer,150000,18000,150000,18000,USD,USA,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman
55-64,Health care,IT Manager Client Services,126000,6000,126000,6000,USD,USA,Texas,Dallas ,21 - 30 years,5-7 years,College degree,Woman
35-44,Business or Consulting,Product Manager,125000,12500,125000,12500,USD,USA,Ohio,Columbus,11 - 20 years,5-7 years,College degree,Man
35-44,Education (Higher Education),Senior Director of Development,138000,5000,138000,5000,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,Master's degree,Man
45-54,Pharma/Research,Principal Scientist,180000,30000,180000,30000,USD,USA,Massachusetts,Cambridge,21 - 30 years,21 - 30 years,PhD,Woman
25-34,Government and Public Administration,Public Information Officer & Community Engagement,75000,0,75000,0,USD,USA,Ohio,Columbus,11 - 20 years,5-7 years,College degree,Woman
35-44,Computing or Tech,IT Manager,90000,4000,90000,4000,USD,USA,New Hampshire,Manchester,21 - 30 years,21 - 30 years,Some college,Man
35-44,Health care,Audiologist,104000,10000,104000,10000,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing or Tech,Technical Program Manager,150000,25000,150000,25000,USD,USA,New York,New York City,5-7 years,5-7 years,Master's degree,Woman
35-44,Property or Construction,Project Coordinator,45760,0,45760,0,USD,USA,Arkansas,Springdale,11 - 20 years,8 - 10 years,Some college,Woman
25-34,Business or Consulting,Research Manager,127000,0,127000,0,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Nonprofits,Business Analyst,95000,0,95000,0,USD,USA,Massachusetts,Agawam,8 - 10 years,5-7 years,College degree,Woman
35-44,Insurance,Product Manager - GL/UMB,85000,13000,85000,13000,USD,USA,Massachusetts,Worcester,11 - 20 years,2 - 4 years,College degree,Woman
35-44,Education (Higher Education),Career Navigator,47300,0,47300,0,USD,USA,Tennessee,Jackson,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Recruitment or HR,Technical Recruiter,71400,5000,71400,5000,USD,USA,Texas,Austin,11 - 20 years,5-7 years,Master's degree,Woman
45-54,Education (Higher Education),Librarian (Supervisory),84500,2300,84500,2300,USD,USA,Connecticut,na,21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),"Editor, Assessment",42000,800,42000,800,USD,USA,Utah,Salt Lake City,5-7 years,5-7 years,Master's degree,Woman
35-44,Health care,Director,114000,25000,114000,25000,USD,USA,Virginia,Richmond,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Insurance,UX Research Manager,120000,20000,120000,20000,USD,USA,Georgia,Atlanta,8 - 10 years,5-7 years,PhD,Man
35-44,Education (Primary/Secondary),Inclusion Facilitator,75000,0,75000,0,USD,USA,New Jersey,Newark ,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Publishing,Director,105000,10000,105000,10000,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman
35-44,academic publishing,acquisitions editor/book editor,73000,0,73000,0,USD,USA,California,Oakland,11 - 20 years,11 - 20 years,College degree,Woman
25-34,"Accounting, Banking & Finance",senior project consultant ,99500,10000,99500,10000,USD,Usa,North Carolina,Durham,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Media & Digital,Digital Content Producer,62000,0,62000,0,USD,USA,Maryland,Baltimore,11 - 20 years,2 - 4 years,College degree,Other or prefer not to answer
25-34,Education (Higher Education),Librarian- Cataloging,51560,0,51560,0,USD,USA,Texas,Dallas,8 - 10 years,8 - 10 years,Master's degree,Woman
18-24,Agriculture or Forestry,Food technologist,90000,6300,90000,6300,USD,Usa,New Jersey,"Union, NJ",8 - 10 years,5-7 years,Master's degree,Woman
55-64,Government Affairs/Lobbying,Lobbyist ,250000,0,250000,0,USD,USA,California,Sacramento ,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing or Tech,Senior Manager of Implementation,125625,0,125625,0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Education (Higher Education),Director of Development ,84000,0,84000,0,USD,USA,Alabama,Tuscaloosa ,11 - 20 years,5-7 years,Master's degree,Woman
55-64,Education (Higher Education),Librarian,55000,0,55000,0,USD,USA,Indiana,Muncie,31 - 40 years,21 - 30 years,Master's degree,Woman
45-54,Law,government attorney,85000,0,85000,0,USD,USA,Ohio,Columbus,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Education (Higher Education),Digital Marketing Specialist,74500,0,74500,0,USD,USA,New Jersey,Piscataway,5-7 years,5-7 years,Master's degree,Woman
35-44,Computing or Tech,Recruiting Manager ,125000,15000,125000,15000,USD,USA,Washington,Vancouver,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Hospitality & Events,Sales Account Executive ,72000,0,72000,0,USD,USA,Maryland,Baltimore ,8 - 10 years,8 - 10 years,College degree,Woman
55-64,Biotech/Pharma,Enterprise Content Manager,124000,10000,124000,10000,USD,USA,Massachusetts,Cambridge,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Education (Higher Education),Associate Director of Undergraduate Admissions,74000,0,74000,0,USD,USA,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Sr Chemist,65000,0,65000,0,USD,USA,Texas,Dallas,11 - 20 years,8 - 10 years,College degree,Man
25-34,Engineering or Manufacturing,Quality Assurance Engineer,82000,1500,82000,1500,USD,USA,Michigan,Ann Arbor,5-7 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),"Associate Director, Donor Engagement ",100000,0,100000,0,USD,USA,Maryland,College Park,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Engineering or Manufacturing,Process Engineer,92500,500,92500,500,USD,USA,Kentucky,Louisville,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,digital manager,50000,0,50000,0,USD,USA,North Carolina,North Carolina,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Computing or Tech,Senior Email Specialist,98000,15000,98000,15000,USD,USA,Oregon,Portland,11 - 20 years,8 - 10 years,College degree,Woman
55-64,Law Enforcement & Security,Program Aide,52000,0,52000,0,USD,USA,New York,Rochester,21 - 30 years,21 - 30 years,Some college,Woman
25-34,Social Work,Behavioral Health Therapist ,64000,0,64000,0,USD,USA,New York,New York City,11 - 20 years,5-7 years,Master's degree,Non-binary
25-34,Education (Primary/Secondary),Director of Human Resources,90000,0,90000,0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Government and Public Administration,Senior Auditor,104000,0,104000,0,USD,USA,Iowa,Des Moines,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Computing or Tech,Consultant ,135000,1000,135000,1000,USD,USA,Maryland,Bethesda MD,11 - 20 years,8 - 10 years,PhD,Woman
25-34,"Marketing, Advertising & PR",Global Mobility Manager,113000,12000,113000,12000,USD,USA,New York,New York,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Nonprofits,Education Program Associate,53500,750,53500,750,USD,USA,California,San Jose,11 - 20 years,5-7 years,College degree,Woman
35-44,Transport or Logistics,HR Business Partner ,77500,2000,77500,2000,USD,USA,Pennsylvania,Philadelphia area ,11 - 20 years,1 year or less,College degree,Woman
35-44,Pharmaceutical/biotechnology,"Director, Real-World Evidence",227500,57000,227500,57000,USD,Usa,Massachusetts,Cambridge,11 - 20 years,2 - 4 years,PhD,Woman
35-44,Research and Development,Senior Scientist,162500,32000,162500,32000,USD,USA,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,PhD,Woman
35-44,Law,Attorney,200000,50000,200000,50000,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
55-64,Nonprofits,Director of HR,78000,0,78000,0,USD,USA,Massachusetts,Springfield ,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Recruitment or HR,HR Specialist,55000,5000,55000,5000,USD,USA,North Carolina,Oxford,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Virtual Assisting ,Consultant,41600,100,41600,100,USD,USA,Georgia,Madison,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,"Leisure, Sport & Tourism",Manager of Logistics,75000,5000,75000,5000,USD,USA,Montana,Bozeman,5-7 years,5-7 years,College degree,Woman
35-44,Law,Attorney,102000,280000,102000,280000,USD,USA,Florida,Tallahassee,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Computing or Tech,Senior Software Engineering Manager,150000,3000,150000,3000,USD,USA,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Engineering or Manufacturing,Engineer,103500,6000,103500,6000,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Woman
55-64,Engineering or Manufacturing,Electrical Controls Engineering Manager,130000,5000,130000,5000,USD,USA,Kentucky,Louisville,21 - 30 years,21 - 30 years,Some college,Man
